net,length_um
datamem._11273_,1744.51
datamem._11260_,1523.57
datamem._11307_,1420.95
datamem._11209_,1356.85
datamem._11240_,1348.54
datamem._11323_,1334.51
datamem._11277_,1306.53
datamem._11275_,1296.91
datamem._11325_,1291.14
datamem._11293_,1288.8
datamem._07330_,1263.86
datamem._11184_,1223.16
datamem._05855_,1213.75
datamem._07439_,1182.37
datamem._11204_,1150.76
datamem._11281_,1141.595
datamem._11234_,1140.19
datamem._11313_,1131.525
datamem._06881_,1127.91
datamem._06860_,1125.92
datamem._07657_,1125.77
datamem._07060_,1122.18
datamem._06892_,1112.01
datamem._11262_,1110.28
datamem._11212_,1098.98
datamem._11271_,1094.6
datamem._11283_,1086.83
datamem._05865_,1080.26
datamem._11242_,1076.46
datamem._11267_,1076.25
datamem._11231_,1068.44
datamem._07172_,1064.07
datamem._11225_,1047.9
datamem._11420_,1036.005
datamem._06940_,1033.86
datamem._11219_,1007.11
datamem._11238_,1001.73
datamem._06243_,1000.82
datamem._07318_,999
datamem._07041_,997.3
datamem._11227_,996.31
net1,994.69
datamem._07593_,974.03
datamem._07713_,973.53
datamem._07952_,969.56
datamem._05768_,967.99
datamem._07834_,966.25
datamem._05747_,964.17
datamem._08007_,951.37
datamem._07545_,945.77
datamem._11427_,932.9
datamem._06911_,931.75
datamem._05832_,929.84
datamem._05954_,929.34
datamem._06716_,927.68
datamem._05887_,921.21
datamem._08138_,916.61
datamem._06870_,916.53
datamem._06384_,905.16
datamem._11285_,900.95
datamem._11230_,897.32
datamem._06930_,896.89
datamem._07564_,896.12
datamem._09595_,892.69
datamem._09272_,888.62
datamem._05764_,886.79
datamem._11404_,885.16
datamem._11435_,884.69
datamem._07495_,879.63
datamem._11265_,876.61
datamem._06139_,876.13
datamem._08258_,875.15
datamem._06436_,865.8
datamem._07159_,857.55
datamem._11202_,855.34
datamem._06597_,853.87
clknet_0_clk,852.7
datamem._05772_,849.1
datamem._08073_,843.25
datamem._11223_,840.05
datamem._07897_,839.5
datamem._08201_,834.1
datamem._11430_,833.11
datamem._11251_,832.66
datamem._11199_,827.59
datamem._12401_,827.58
datamem._06062_,826.95
datamem._11365_,826.12
datamem._07115_,824.73
datamem._11415_,822.8
datamem._06809_,822.12
datamem._07583_,821.89
clk,812.42
datamem._11337_,809.23
datamem._11310_,807.1
clknet_2_3_0_clk,805.35
datamem._07189_,800.23
datamem._06850_,799.93
datamem._08567_,788.69
datamem._07524_,787.66
datamem._08373_,787.51
datamem._05780_,786.83
datamem._05776_,784.97
datamem._11361_,780.98
datamem._11222_,779.21
datamem._06325_,777.62
net56,774.11
datamem._05757_,773.86
datamem._05788_,773.45
clknet_2_1_0_clk,773.37
datamem._11304_,767.81
datamem._06447_,766.92
datamem.rd_addr0\[2\],766.86
datamem._07386_,764.95
datamem._12189_,763.42
datamem._05992_,761.89
datamem._09900_,753.86
datamem._06785_,753.26
datamem._11410_,752.22
clknet_2_0_0_clk,750.9
datamem._11441_,750.24
datamem._08055_,738.805
datamem._09938_,735.51
datamem._12188_,734.61
datamem._09747_,733.55
datamem._11191_,732.44
datamem._12194_,732.16
datamem._06487_,726.99
datamem._05931_,726.45
datamem._11291_,723.79
datamem._06656_,721.92
datamem._11246_,721.15
datamem._06521_,720.32
datamem._06497_,719.98
datamem._12407_,719.8
datamem._11366_,717.65
datamem._05784_,717.39
datamem._11241_,713.03
datamem._08408_,712.57
datamem._09989_,711.68
datamem._06729_,709.17
datamem._06666_,708.72
net57,708.39
datamem._11190_,705.26
datamem._11421_,705.21
datamem._11397_,704.93
datamem._11218_,703.97
datamem._11412_,702.9
datamem._11438_,701.96
net156,700.31
net5,699.72
clknet_2_2_0_clk,699.12
datamem._11426_,698.89
datamem._06763_,698.3
datamem._06819_,697.21
datamem._11195_,692.28
datamem._05944_,690.74
datamem._06491_,689.17
datamem._07749_,687.73
datamem._11196_,687.47
datamem._07299_,686.35
datamem._11187_,683.88
datamem._08580_,683.37
datamem._11360_,681.72
datamem._08895_,681.64
datamem.rd_addr0\[5\],680.47
datamem._06494_,680.16
datamem._11342_,678.52
datamem._08577_,676.77
datamem._11372_,675.69
datamem._12147_,674.79
datamem._11217_,671.57
datamem._06150_,669.93
datamem._06048_,669.67
datamem._08891_,664.33
datamem.rd_addr0\[6\],661.66
dp.regfile._04584_,661.58
datamem._11243_,660.52
datamem._08582_,659.04
datamem._06950_,657.3
datamem._11439_,655.32
datamem._09991_,654.64
datamem._12792_,654.37
datamem._11194_,653.95
datamem._08893_,653.43
dp.regfile._04520_,650.96
datamem._09226_,650.72
datamem._11425_,646.63
datamem._05711_,644.92
datamem._07213_,644.3
datamem._08588_,643.21
datamem._08887_,640.78
datamem._07200_,635.64
datamem._06829_,633.43
datamem._12393_,633.14
datamem._04576_,630.92
datamem._11289_,629.84
datamem._07405_,629.73
datamem._05741_,629.61
datamem._08884_,628.35
datamem._06509_,627.9
dp.regfile._04541_,627.61
datamem._07205_,627.54
datamem._07070_,627.46
datamem._07505_,627.33
datamem._06736_,626.81
datamem._07467_,626.64
datamem._04370_,624.79
datamem._05908_,624.02
datamem._05725_,621.47
datamem._06176_,621.07
datamem._08889_,620.56
datamem._05914_,620.19
datamem._06503_,618.59
datamem._08897_,618.48
datamem._12167_,618.47
datamem._06282_,617.68
datamem._06003_,617.51
datamem._06026_,616.05
dp.regfile._04525_,615.69
datamem._05737_,614.32
datamem._06101_,613.22
datamem._09995_,612.97
datamem._06416_,612.6
datamem._06254_,612.47
datamem._05980_,611.52
datamem._08586_,611.39
datamem._12241_,610.67
datamem._04894_,610.34
datamem._10026_,609.64
datamem._11182_,606.9
datamem._08899_,606.87
dp.regfile._03383_,605.47
datamem._04487_,604.83
datamem._11418_,603.23
datamem._06073_,602.73
datamem._06189_,601.74
clknet_5_12__leaf_clk,601.47
datamem._04281_,600.96
dp.regfile._03418_,599.86
datamem._06181_,599.15
datamem._06355_,598.67
datamem._11478_,597.63
datamem._06476_,596.77
datamem._11198_,596.61
datamem._07768_,596.57
datamem._06500_,595.58
datamem._12200_,595.58
datamem._12182_,595.36
datamem._11368_,595.27
datamem._05733_,595.22
datamem._12809_,594.6
datamem._06840_,594.09
datamem._09056_,593.64
datamem._07229_,593.3
datamem._06511_,593.19
dp.regfile._03334_,592.6
datamem._08584_,591.49
dp.regfile._03361_,591.44
datamem._09993_,590.21
datamem._11350_,589.36
datamem._09997_,588.7
datamem._11377_,588.36
datamem._06209_,587.71
datamem._06506_,587.4
datamem._07207_,587.1
datamem._12499_,586.81
datamem._09984_,586.22
datamem._11405_,585.04
datamem._06705_,584.94
datamem._07211_,580.7
datamem._06457_,580.62
datamem._06125_,580.24
datamem._11434_,579.13
dp.regfile._03379_,576.24
datamem._12360_,576.07
datamem._07148_,575.66
datamem._04983_,569.36
datamem._10022_,569
datamem._12810_,568.02
datamem._12384_,567.48
datamem._11344_,566.46
datamem._05729_,566.06
dp.regfile._03380_,565.59
datamem._07179_,563.55
datamem._12457_,563.5
datamem._12665_,562.8
datamem._07209_,562.51
datamem._07249_,561.99
dp.regfile._03376_,561.29
datamem._07201_,560.8
datamem._12581_,559.35
datamem._07092_,558.86
datamem._12575_,557.96
datamem._06194_,557.14
dp.regfile._03416_,556.21
datamem._10010_,555.04
datamem._12405_,554.97
datamem._04691_,554.7
datamem._12814_,553.18
datamem._10020_,550.82
datamem._08650_,549.48
datamem._10024_,548.86
datamem._12776_,548.03
datamem._11400_,547.41
datamem._11978_,546.965
dp.regfile._04544_,545.97
datamem._06214_,545.87
datamem._09987_,545.42
datamem._12743_,545.31
datamem._06374_,545.21
datamem._12779_,543.78
datamem._08590_,543.73
datamem._10016_,543.24
datamem._12258_,542.58
datamem._06204_,541.55
datamem._12576_,540.81
datamem._04784_,538.24
dp.regfile._03350_,538.07
datamem._07357_,535.65
datamem._04393_,535.47
datamem._08315_,535.36
datamem._12390_,534.16
datamem._09999_,534.06
datamem._11375_,533.29
datamem._06394_,533.06
datamem._07217_,532.44
datamem._11979_,531.05
datamem._05703_,530.61
datamem._08592_,529.715
datamem._07127_,527.15
datamem._06803_,526.45
datamem._06745_,525.86
datamem._12243_,525.73
datamem._11409_,525.72
datamem._12654_,523.82
datamem._11356_,522.58
datamem._06199_,522.54
datamem._10018_,521.48
datamem._12663_,517.13
datamem._04391_,516.12
clknet_5_14__leaf_clk,514.975
datamem._07177_,514.31
datamem._12165_,514.16
datamem._08991_,512.94
datamem._06733_,512.42
datamem._05817_,512.38
datamem._05717_,511.3
datamem._07215_,510.78
datamem._07181_,510.41
datamem._12863_,509.68
dp.regfile._04537_,509.47
datamem._10101_,509.13
dp.regfile._04533_,508.42
datamem._12263_,507.6
datamem._07103_,507.3
datamem.rd_addr0\[3\],506.26
datamem._06728_,505.57
datamem._12244_,505.11
datamem._07824_,504.78
datamem._11245_,503.57
datamem._04807_,502.01
dp.regfile._04580_,501.85
dp.regfile._04553_,500.62
datamem._11248_,500.16
datamem._11188_,500.02
datamem._11220_,499.56
datamem._04655_,498.97
datamem._08427_,498.28
datamem._05721_,496.28
datamem._12650_,496.07
dp.regfile._03382_,495.67
datamem._06739_,495.46
datamem._08388_,494.68
datamem._09651_,493.915
dp.regfile._02071_,493.63
dp.regfile._03421_,492.58
datamem._11380_,492
dp.regfile._04494_,491.75
datamem._12653_,491.68
datamem._12797_,491.58
datamem._12397_,491.04
datamem._11422_,490.72
dp.regfile._04521_,489.675
dp.regfile._04611_,489.55
datamem._11354_,488
datamem._12179_,487.93
datamem._10014_,487.06
datamem._08384_,486.82
datamem._11399_,486.51
dp.regfile._03351_,484.16
datamem._12398_,483.97
datamem._09250_,483.69
datamem._08382_,481.95
dp.regfile._02656_,481.58
clknet_5_28__leaf_clk,480.64
net199,479.5
datamem._06335_,479.28
datamem._06751_,478.6
datamem._12470_,478.06
datamem._06219_,477.55
dp.regfile._04592_,476.37
datamem._07185_,475.27
clknet_5_9__leaf_clk,474.82
dp.regfile._03369_,474.68
dp.regfile.wr_din0\[18\],473.42
datamem._12452_,472.74
datamem._12463_,472.03
datamem._04455_,471.51
datamem._09248_,470.36
datamem._11183_,469.86
clknet_5_15__leaf_clk,469.76
datamem._06747_,469.6
datamem._04241_,469.38
dp.regfile._02073_,468.28
datamem._06742_,467.71
datamem._11309_,467.5
datamem._05811_,467.36
datamem._07534_,467.06
datamem._08054_,466.8
datamem._08386_,466.19
datamem._06748_,465.32
datamem._12670_,464.03
datamem._05814_,463.62
datamem._05820_,463.32
dp.regfile._02059_,463.08
datamem._11208_,462.59
datamem._06974_,461.47
datamem._09498_,461.4
net3,461.26
clknet_5_29__leaf_clk,460.89
datamem._09500_,460.69
dp.regfile._02654_,460.32
datamem._11286_,459.47
dp.regfile._04545_,458.48
datamem._11357_,457.76
datamem._09496_,457.56
datamem._11351_,456.18
datamem._11301_,456.1
clknet_5_5__leaf_clk,455.53
datamem._08989_,455.46
datamem._06800_,455.275
dp.regfile.wr_din0\[22\],455.17
datamem._08101_,455.04
datamem._12446_,454.885
dp.regfile._02260_,454.88
net4,454.58
datamem._08987_,453.25
datamem._05802_,452.94
dp.regfile._04548_,452.68
datamem._11623_,452.24
datamem._06738_,451.24
dp.regfile._03400_,450.23
datamem._11374_,450.15
datamem._08607_,449.46
datamem._06806_,448.92
datamem._04244_,448.83
dp.regfile._03331_,448.7
dp.regfile.wr_din0\[3\],447.91
datamem._07351_,447.76
datamem._12657_,447.62
